,0
Start,2017-10-29 00:00:00+00:00
End,2017-11-25 23:00:00+00:00
Period,28 days 00:00:00
Start Value,100.0
End Value,101.6935020876367
Total Return [%],1.6935020876366984
Benchmark Return [%],52.667376773878935
Max Gross Exposure [%],11.093599794234452
Total Fees Paid,0.19217612951783752
Max Drawdown [%],1.9240232742938945
Max Drawdown Duration,17 days 03:00:00
Total Trades,10
Total Closed Trades,9
Total Open Trades,1
Open Trade PnL,0.672076209293424
Win Rate [%],55.55555555555556
Best Trade [%],9.913960501764205
Worst Trade [%],-5.612147146832953
Avg Winning Trade [%],4.766535019064436
Avg Losing Trade [%],-3.3821571141530766
Avg Winning Trade Duration,1 days 07:12:00
Avg Losing Trade Duration,0 days 16:30:00
Profit Factor,1.75081700902716
Expectancy,0.11349176426036409
Sharpe Ratio,3.7459195659580464
Calmar Ratio,12.719248136898194
Omega Ratio,1.2083591910041684
Sortino Ratio,4.87444172461673
